municipio,confirmado_03_04,suspeito_03_04,confirmado_02_04,suspeitos_02_04,confirmado_01_04,suspeito_01_04,confirmado_30_03,suspeitos_30_03,confirmados_28_03,suspeitos_28_03,confirmados_27_03,suspeitos_27_03,confirmados_25_03,suspeitos_25_03,confirmados_24_03,suspeitos_24_03,confirmados_22_03,suspeitos_22_03,confirmados_20_03,suspeitos_20_03,confirmados_18_03,suspeitos_18_03,confirmados_16_03,suspeitos_16_03,confirmados_13_03,suspeitos_13_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Guamaré,,26,,27,,24,,21,,23,,24,,24,,6,,3,,3,,,,,,,,,,,,,
Ielmo Marinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Ipueira,,2,,2,,2,,2,,2,,3,,2,,2,,,,,,,,,,,,,,,,,
Itajá,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,
Itaú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaçanã,,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandaíra,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janduís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januário Cicco,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Japi,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Angicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Piranhas,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim do Seridó,,4,,4,,4,,4,,4,,4,,3,,1,,1,,,,,,,,,,,,,,,
João Câmara,,3,,3,,2,,3,,3,,3,,3,,2,,1,,1,,,,,,,,,,,,,
João Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José da Penha,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jucurutu,,7,,6,,4,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,,,
Jundiá,,2,,2,,1,,1,,1,,1,,2,,2,,2,,,,,,,,,,,,,,,
Lagoa d'Anta,,1,,1,,1,,2,,2,,2,,2,,1,,,,1,,,,,,,,,,,,,
Lagoa de Pedras,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Velhos,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Lagoa Nova,,6,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Salgada,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Lajes,,,,,,,,2,,2,,2,,2,,3,,,,,,,,,,,,,,,,,
Lajes Pintadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucrécia,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Luís Gomes,1,1,1,,1,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Macaíba,1,33,1,33,1,24,1,20,1,20,,23,,21,,3,,2,,2,,,,,,,,,,,,,
Macau,,7,,7,,7,,3,,3,,3,,2,,2,,1,,,,,,,,,,,,,,,
Major Sales,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Marcelino Vieira,,2,,2,,3,,3,,3,,3,,1,,,,,,,,,,,,,,,,,,,
Martins,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxaranguape,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Messias Targino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanhas,,8,,8,,5,,4,,4,,4,,4,,1,,,,,,,,,,,,,,,,,
Monte Alegre,1,4,1,4,1,2,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,,
Monte das Gameleiras,,3,,3,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,
Mossoró,43,141,21,148,20,138,16,131,16,132,5,142,2,151,1,90,1,59,,14,,5,,3,,2,2,2,,,,,
Natal,77,1203,56,1126,48,930,36,501,34,504,19,569,13,532,9,200,9,123,5,73,1,47,1,20,1,9,8,9,3,2,3,4,5
Nísia Floresta,,7,,5,,4,,3,,3,,3,,3,,3,,3,,3,,2,,2,,,,,,,,,
Nova Cruz,,5,,5,,2,,2,,2,,2,,5,,1,,1,,,,,,,,,,,,,,,
Olho-d'Água do Borges,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Ouro Branco,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parazinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,,6,,6,,5,,3,,3,,3,,3,,4,,2,,,,,,,,,,,,,,,
Parnamirim,17,224,13,199,11,171,10,76,9,77,4,81,4,83,4,29,3,20,1,16,,13,,5,,4,2,2,1,2,1,1,1
Passa e Fica,1,1,1,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Passagem,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,
Patu,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,
Pau dos Ferros,,9,,7,,9,,5,,5,,5,,4,,1,,,,,,,,,,,,,,,,,
Pedra Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Preta,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Avelino,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Velho,,5,,3,,3,,1,,1,,2,,2,,2,,,,,,,,,,,,,,,,,
Pendências,,2,,2,,2,,1,,1,,1,,1,,,,,,,,1,,,,,,,,,,,
Pilões,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Poço Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,,1,,2,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Rio do Fogo,,2,,2,,2,,3,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,
Rodolfo Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
Santa Cruz,,12,,10,,7,,3,,3,,4,,5,,2,,2,,2,,2,,,,,,,,,,,
Santa Maria,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,
Santana do Matos,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Santana do Seridó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,1,7,,3,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
São Bento do Norte,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,
São Francisco do Oeste,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,9,59,1,62,1,39,2,18,1,18,,21,,23,,6,,4,,2,,,,,,,,,,,,,
São João do Sabugi,,4,,4,,4,,4,,4,,4,,3,,3,,,,,,,,,,,,,,,,,
São José de Mipibu,1,21,1,20,1,18,1,6,1,6,,6,,6,,4,,4,,,,,,,,,,,,,,,
São José do Campestre,,4,,4,,4,,4,,4,,4,,4,,3,,,,,,,,,,,,,,,,,
São José do Seridó,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
São Miguel,,3,,3,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,
São Miguel do Gostoso,,1,,1,,1,,1,,1,,2,,2,,1,,1,,1,,1,,,,,,,,,,,
São Paulo do Potengi,,3,,3,,2,,2,,2,,2,,1,,1,,,,,,,,,,,,,,,,,
São Pedro,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra do Mel,,1,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Serra Negra do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severiano Melo,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sítio Novo,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Taboleiro Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipu,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Ananias,,1,,2,,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Tenente Laurentino Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau,1,5,1,3,1,3,1,2,1,2,,3,,1,,4,,3,,2,,,,,,,,,,,,,
Tibau do Sul,,3,,3,,4,,3,,3,,3,,4,,1,,1,,1,,1,,1,,,,,,,,,
Timbaúba dos Batistas,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Touros,,1,,1,,1,,1,,1,,3,,3,,1,,,,,,,,,,,,,,,,,
Triunfo Potiguar,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umarizal,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Upanema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Várzea,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venha-Ver,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Vera Cruz,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Viçosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vila Flor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Importados,5,40,3,38,2,30,2,27,1,28,,30,,26,,24,,10,,3,,3,,2,,1,1,1,,,,,
